FID,OBJECTID,SE_ANNO_CAD_DATA,SHAPE,FEATURENAME,NEIGHBORNODE_OBJECTID,GIP_OBJECTID
STRASSENKNOTENOGD.3427128,3427128,,MULTIPOINT ((16.452633779562802 48.2674986690233)),Kreuzung auf Adolf-Loos-Weg,,20048301
STRASSENKNOTENOGD.3427129,3427129,,MULTIPOINT ((16.453923326739268 48.26740953203255)),Kreuzung auf Meistergasse,,20048304
STRASSENKNOTENOGD.3427130,3427130,,MULTIPOINT ((16.504386981529663 48.23337912023598)),Kreuzung auf Nelson-Mandela-Platz,,20048401
STRASSENKNOTENOGD.3427131,3427131,,MULTIPOINT ((16.49965575911663 48.23269157357505)),Kreuzung zwischen Johann-Kutschera-Gasse und Gewidmete Verkehrsfläche und Unbenannte Verkehrsfläche und Gewidmete Verkehrsfläche,,20048421
STRASSENKNOTENOGD.3427132,3427132,,MULTIPOINT ((16.508053144418692 48.226323878714126)),Kreuzung zwischen Unbenannte Verkehrsfläche und Gewidmete Verkehrsfläche,,20048724
STRASSENKNOTENOGD.3427133,3427133,,MULTIPOINT ((16.392769517769622 48.14429982453852)),Kreuzung auf Unterführung Alma-Rose-Gasse,,20048867
STRASSENKNOTENOGD.3427134,3427134,,MULTIPOINT ((16.404408101274647 48.1417188102134)),Kreuzung auf Kästenbaumtunnel,,20048901
STRASSENKNOTENOGD.3427135,3427135,,MULTIPOINT ((16.404315786211722 48.141530215630176)),Kreuzung auf Kästenbaumtunnel,,20048902
STRASSENKNOTENOGD.3427136,3427136,,MULTIPOINT ((16.30395988150427 48.214502905814534)),Kreuzung auf Erdbrustgasse,,20048943
STRASSENKNOTENOGD.3427137,3427137,,MULTIPOINT ((16.298206689666443 48.19838635022401)),Kreuzung auf Heinrich-Collin-Straße,,20048949
STRASSENKNOTENOGD.3427138,3427138,,MULTIPOINT ((16.4519924318603 48.268268229431)),Ende Rieglgasse,,20049001
STRASSENKNOTENOGD.3427139,3427139,,MULTIPOINT ((16.3716891889381 48.21221088756008)),Kreuzung auf Fischerstiege,,20049081
STRASSENKNOTENOGD.3427140,3427140,,MULTIPOINT ((16.37313502066008 48.210893417267506)),Kreuzung zwischen Hoher Markt und Judengasse,,20049084
